id,name,price,description
1,Ford,7525.95,Polarised composite policy
2,Hyundai,428.93,Optimized secondary frame
3,Plymouth,2151.96,Proactive 24 hour open system
4,Dodge,2853.8,Centralized foreground policy
5,Chevrolet,1842.95,Robust contextually-based open architecture
6,Toyota,7614.68,Persistent dedicated archive
7,Chevrolet,9971.88,Centralized executive ability
8,Kia,5689.45,Assimilated eco-centric internet solution
9,GMC,4332.45,Multi-lateral impactful firmware
10,BMW,5906.47,Secured full-range internet solution
11,Cadillac,7565.78,Visionary clear-thinking implementation
12,Plymouth,4307.29,Total fault-tolerant utilisation
13,Ford,7932.26,Up-sized regional portal
14,Acura,1339.9,Reverse-engineered client-driven challenge
15,Infiniti,3892.82,Extended radical moderator
16,GMC,4723.36,Cross-platform transitional firmware
17,Volkswagen,3832.34,Devolved heuristic initiative
18,Mercedes-Benz,1423.06,Customer-focused heuristic firmware
19,BMW,1536.8,Profound 3rd generation application
20,Kia,4769.07,Polarised value-added algorithm
21,Mercury,8379.84,Down-sized scalable solution
22,Pontiac,5407.33,Re-engineered incremental moderator
23,Cadillac,5876.04,Horizontal web-enabled contingency
24,Hillman,307.36,Synergized human-resource function
25,Mercedes-Benz,2840.06,Streamlined fault-tolerant synergy
26,Acura,3498.04,Intuitive bottom-line projection
27,Jaguar,1134.68,Function-based modular productivity
28,Buick,7429.79,Devolved 24/7 instruction set
29,Chevrolet,841.21,Exclusive full-range challenge
30,Cadillac,6581.39,Quality-focused real-time initiative
31,Lexus,3456.88,Up-sized 6th generation superstructure
32,Honda,5360.98,Right-sized transitional protocol
33,Mazda,7048.18,Synergized scalable strategy
34,Acura,6153.04,Synergistic 4th generation complexity
35,Dodge,5744.16,Devolved motivating utilisation
36,Suzuki,8326.37,Multi-channelled solution-oriented approach
37,Nissan,5868.84,Universal context-sensitive customer loyalty
38,Pontiac,1756.52,Expanded bi-directional benchmark
39,Lincoln,1979.22,Organized well-modulated matrices
40,Toyota,4930.83,Cross-group bandwidth-monitored frame
41,Nissan,6755.17,Assimilated dynamic capacity
